Employee	EducLev	JobGrade	YrHired	YrBorn	Gender	YrsPrior	PCJob	Salary
95	4	2	93	68	Male	2	No	30
96	5	2	87	61	Female	0	Yes	37.3
97	4	2	90	66	Female	0	No	40.2
98	3	2	90	68	Male	0	No	35.5
99	1	2	84	52	Female	0	No	35
100	3	2	91	59	Female	3	No	38
101	1	2	86	57	Female	0	No	35.3
102	2	2	81	35	Female	0	No	34.1
103	3	3	91	52	Female	5	Yes	43.2
104	2	3	80	47	Female	5	No	36.1
105	5	3	88	63	Female	3	No	34.6
106	3	3	90	64	Male	0	No	36
107	5	3	88	66	Female	2	No	36.2
108	3	3	88	60	Female	0	No	37.5
109	3	3	91	58	Female	12	No	41
110	2	3	85	52	Female	0	No	35.6
111	3	3	90	62	Female	5	No	39.8
112	4	3	84	37	Female	4	Yes	41.3
113	3	3	86	51	Female	7	No	42.5
114	3	3	91	58	Female	8	Yes	45.8
115	5	3	90	47	Female	6	No	34.9
116	5	3	91	69	Male	0	No	41.5
117	3	3	90	70	Female	0	No	38
118	4	3	89	57	Female	0	No	35
119	3	3	89	54	Female	0	No	40
120	3	3	90	66	Male	0	No	36
121	2	3	86	36	Female	0	No	33.7
122	2	3	90	66	Male	4	No	36.3
123	3	3	92	68	Female	2	Yes	38
124	5	3	91	65	Female	0	No	39.5
125	2	3	88	61	Female	5	No	36.3
126	3	3	87	60	Female	2	No	32.5
127	2	3	83	45	Female	6	No	37
128	5	3	92	62	Female	1	No	32.6
129	3	3	91	69	Female	0	No	36
130	5	3	92	59	Female	0	No	35
131	5	3	92	62	Female	5	Yes	43.6
132	3	3	87	48	Female	0	No	33.8
133	1	3	74	44	Female	0	No	35.3
134	1	3	79	53	Female	6	No	42.4
135	5	3	90	64	Male	0	No	39.5
136	2	3	70	33	Female	10	No	43.5
137	5	3	89	49	Male	1	No	42
138	3	3	74	35	Female	9	No	40.3
139	4	3	89	52	Male	5	No	44
140	1	3	70	42	Female	2	No	40.66
141	3	3	82	57	Female	1	No	39.7
142	5	3	89	56	Female	5	No	45
143	5	3	88	60	Female	0	No	43.9
144	4	3	87	55	Female	3	No	38
145	5	3	90	63	Female	3	No	39.02
146	5	4	90	62	Male	3	No	44.5
147	5	4	91	65	Male	1	No	41
148	5	4	89	58	Male	3	No	44
149	5	4	89	65	Male	0	No	44
150	5	4	90	63	Female	4	No	42.5
151	5	4	88	58	Female	3	No	40.26
152	5	4	90	66	Male	1	No	44.5
153	1	4	82	45	Female	9	No	35.5
154	5	4	89	66	Male	0	No	42.5
155	5	4	88	63	Female	0	No	44
156	5	4	89	64	Male	2	No	45
157	2	4	80	48	Female	4	No	44.4
158	3	4	78	51	Female	0	No	38
159	5	4	91	68	Male	0	No	41.8
160	1	4	72	40	Male	0	No	45.5
161	3	4	90	43	Male	4	No	42.5
162	5	4	92	45	Female	12	No	44
163	3	4	76	36	Female	8	Yes	54.3
164	3	4	69	48	Female	0	No	44.8
165	3	4	89	52	Male	4	No	47
166	5	4	80	54	Female	0	No	43.8
167	1	4	83	56	Female	4	Yes	48
168	5	4	86	56	Female	0	No	42.7
169	3	4	81	55	Female	1	Yes	48.5
170	3	4	79	46	Female	0	No	42
171	2	4	79	42	Female	1	No	45.5
172	3	4	84	58	Female	0	No	44.5
173	2	4	82	55	Female	2	No	51.2
174	5	5	88	61	Male	0	No	47.5
175	5	5	87	58	Female	0	No	44.5
176	5	5	87	64	Male	0	No	47
177	5	5	89	54	Male	10	No	47
178	3	5	78	49	Female	4	No	43.1
179	5	5	87	58	Male	2	No	49
180	5	5	87	62	Male	0	No	48.5
181	3	5	87	60	Female	5	No	45
182	5	5	79	46	Female	5	No	52.5
183	5	5	89	62	Male	2	No	47.5
184	5	5	88	64	Male	0	No	48
185	5	5	87	46	Male	4	No	46.5
186	5	5	83	55	Female	2	No	61.5
187	5	5	86	58	Female	2	No	50
188	5	5	83	49	Female	2	No	61.8
189	4	5	79	52	Female	0	No	43
190	5	5	84	59	Male	1	No	47
191	5	5	86	58	Female	6	No	58.5
192	5	5	79	55	Male	7	No	55
193	3	5	71	41	Male	3	No	57
194	5	5	78	38	Male	1	No	57
195	5	6	81	46	Male	0	No	60
196	3	6	82	54	Male	0	No	60
197	5	6	76	36	Male	4	No	59
198	5	6	83	44	Male	0	No	60
199	5	6	75	50	Male	0	No	65
200	5	6	75	39	Male	1	No	52
201	5	6	73	38	Male	0	No	58
202	4	6	74	42	Male	0	No	60
203	5	6	56	30	Male	0	No	74
204	3	6	61	35	Male	0	No	95
205	5	6	59	34	Male	0	No	97
206	5	6	63	33	Male	0	No	88
207	5	6	60	36	Male	0	No	94
208	5	6	62	33	Female	0	No	30
